prop,serie,ref,name,name_es,color,medium
SG,GC,72.087,Violet,Violeta,#6F467B,4
SG,GC,72.088,Blue,Azul,#095C95,4
SG,GC,72.089,Green,Verde,#08743C,4
SG,GC,72.090,Black Green,Verde Negro,#3A644E,4
SG,GC,72.091,Sepia,Sepia,#53412D,4
SG,GC,72.093,Skin,Piel,#5A2D2A,4
SG,GC,72.094,Black,Negro,#000000,4
SG,GC,72.095,Glacier Blue,Azul Glaciar,#BFD2EC,4
SG,GC,72.096,Verdigris,Verdín,#7AC9AA,4
SG,GC,72.098,Elfic Flesh,Carne Élfica,#E4D0B1,4
SG,GC,72.099,Skin Tone,Piel,#E0A682,4
SG,GC,72.100,Rosy Flesh,Carne Rosa,#E4896C,4
SG,GC,72.101,Off-White,Blanco Sucio,#FCEFD3,4
SG,GC,72.102,Steel Grey,Gris Acero,#7591A0,4
FL,GC,72.103,Fluorescent Yellow,Amarillo Fluoresc.,#EAE84B,4
FL,GC,72.104,Fluorescent Green,Verde Fluorescente,#6EBE44,4
SG,GC,72.106,Scarlet Blood,Sangre Escarlata,#C62B30,4
SG,GC,72.107,Anthea Skin,Piel de Atenea,#C7635B,4
SG,GC,72.108,Succubus Skin,Piel de Súcubo,#8E4550,4
SG,GC,72.109,Toxic Yellow,Amarillo Tóxico,#E2D262,4
SG,GC,72.110,Sunset Orange,Naranja Atardecer,#F89644,4
SG,GC,72.111,Nocturnal Red,Rojo Nocturno,#4F1624,4
SG,GC,72.112,Evil Red,Rojo Maligno,#3F1826,4
SG,GC,72.113,Deep Magenta,Magenta Profundo,#632748,4
SG,GC,72.114,Lustful Purple,Púrpura Lujurioso,#AE86BB,4
SG,GC,72.115,Marrón Mugre,Grunge Brown,#84482E,4
SG,GC,72.116,Midnight Purple,Púrp. Medianoche,#271636,4
SG,GC,72.117,Elfic Blue,Azul Élfico,#506780,4
SG,GC,72.118,Sunrise Blue,Azul Amanecer,#60C9E9,4
SG,GC,72.119,Aquamarine,Aguamarina,#10827B,4
SG,GC,72.120,Abyssal Turquoise,Turquesa Abisal,#18445A,4
SG,GC,72.121,Ghost Green,Verde Espectral,#78C396,4
SG,GC,72.122,Bile Green,Verde Bilioso,#CDDC33,4
SG,GC,72.123,Angel Green,Verde Angelical,#304F31,4
SG,GC,72.124,Gorgon Brown,Marrón Gorgona,#552E26,4
SG,GC,72.145,Dirty Grey,Gris Sucio,#646138,4
SG,GC,72.148,Warm Grey,Gris Cálido,#AA9999,4
SG,GC,72.155,Charcoal,Gris Carbón,#313539,4
FL,GC,72.156,Fluorescent Orange,Naranja Fluoresc.,#F15A22,4
FL,GC,72.157,Fluorescent Red,Rojo Fluorescente,#E03A5B,4
FL,GC,72.158,Fluoresc. Magenta,Magenta Fluoresc.,#EE4097,4
FL,GC,72.159,Fluorescent Violet,Violeta Fluoresc.,#6F2C84,4
FL,GC,72.160,Fluorescent Blue,Azul Fluorescente,#008CD1,4
FL,GC,72.161,Fluo. Cold Green,Verde Frío Fluores.,#007579,4
W,GC,73.200,Sepia,Sepia,#835F30,4
W,GC,73.201,Black,Negro,#2B2C33,4
W,GC,73.203,Umber,Sombra,#6A5C53,4
W,GC,73.204,Flesh,Carne,#AF7A75,4
W,GC,73.206,Red,Rojo,#D46388,4
W,GC,73.207,Blue,Azul,#0C72BA,4
W,GC,73.208,Yellow,Amarillo,#D4DE24,4
W,GC,73.209,Violet,Violeta,#56368D,4
SG,GA,70.600,White,Blanco,#FFFFFF,5
SG,GA,70.602,Black,Negro,#231F20,5
SG,GA,70.625,Ultramarine Blue,Azul Ultramar,#36426F,5
SG,GA,70.629,Sun Yellow,Amarillo Soleado,#FAA222,5
SG,GA,70.630,Steel Grey,Gris Acero,#7591A0,5
SG,GA,70.631,Chainmail Silver,Malla de Acero,#8B939B,5
SG,GA,70.632,Bloody Red,Rojo Sanguina,#D9282A,5
SG,GA,76.001,Dead White,Blanco Calavera,#FFFFFF,5
SG,GA,76.003,Pale Flesh,Carne Pálida,#DD9C7A,5
SG,GA,76.004,Elf Skin Tone,Piel de Elfos,#D1844E,5
SG,GA,76.005,Moon Yellow,Amarillo lunar,#EEA125,5
SG,GA,76.006,Sun Yellow,Amarillo Soleado,#F8971D,5
SG,GA,76.007,Gold Yellow,Amarillo Dorado,#F47720,5
SG,GA,76.008,Orange Fire,Naranja Fuego,#F15822,5
SG,GA,76.010,Bloody Red,Rojo Sanguina,#9C1F1E,5
SG,GA,76.012,Scarlet Red,Rojo Escarlata,#390108,5
SG,GA,76.013,Squid Pink,Rosa Pulpo,#B1639D,5
SG,GA,76.014,Warlord Purple,Púrpura,#570F3A,5
SG,GA,76.016,Royal Purple,Púrpura Real,#201634,5
SG,GA,76.019,Night Blue,Azul Negro,#0E0F23,5
SG,GA,76.020,Imperial Blue,Azul Imperial,#091030,5
SG,GA,76.021,Magic Blue,Azul Mágico,#154B93,5
SG,GA,76.022,Ultramarine Blue,Azul Ultramar,#191F42,5
SG,GA,76.023,Electric Blue,Azul Eléctrico,#2B799F,5
SG,GA,76.024,Turquoise,Halcón Milenario,#004F57,5
SG,GA,76.026,Jade Green,Verde Jade,#006E56,5
SG,GA,76.027,Scurvy Green,Verde Casposo,#0D3A34,5
SG,GA,76.028,Dark Green,Verde Oscuro,#1A2A21,5
SG,GA,76.031,Camouflage Green,Verde Camuflaje,#746A36,5
SG,GA,76.032,Scorpy Green,Verde Escorpena,#568042,5
SG,GA,76.034,Bone White,Blanco Hueso,#CCC4A3,5
SG,GA,76.035,Dead Flesh,Carne Muerta,#9C884D,5
SG,GA,76.036,Bronze Brown,Marrón Bronceado,#AF6E32,5
SG,GA,76.040,Leather Brown,Marrón Cuero,#563A1A,5
SG,GA,76.042,Parasite Brown,Piel de Parásitos,#5F330D,5
SG,GA,76.043,Beasty Brown,Marrón Bichos,#412906,5
SG,GA,76.045,Charred Brown,Marrón Carbonizado,#261209,5
SG,GA,76.047,Wolf Grey,Gris Lobo,#9CB4B8,5
SG,GA,76.048,Sombre Grey,Gris Sombra,#2F3B42,5
SG,GA,76.049,Stonewall Grey,Gris Muralla,#67655F,5
SG,GA,76.050,Neutral Grey,Gris Neutral,#3F4345,5
SG,GA,76.051,Black,Negro,#000000,5
SG,GA,76.062,Earth,Tierra,#3A2C15,5
SG,GA,76.063,Desert Yellow,Desierto,#755B30,5
SG,GA,76.071,Barbarian Skin,Piel de Bárbaro,#755C3E,5
SG,GA,76.076,Alien Purple,Púrpura Alienígena,#4E417F,5
SG,GA,76.100,Rosy Flesh,Carne Rosa,#E2745F,5
SG,GA,76.107,Athena Skin,Piel de Atenea,#AA574B,5
SG,GA,76.109,Toxic Yellow,Amarillo Tóxico,#EAC143,5
SG,GA,76.111,Nocturnal Red,Rojo Nocturno,#26040B,5
SG,GA,76.114,Lustful Purple,Púrpura Lujurioso,#8268AD,5
SG,GA,76.115,Grunge Brown,Marrón Mugre,#5E3729,5
SG,GA,76.116,Midnight Purple,Púrpura Medianoche,#060013,5
SG,GA,76.118,Sunrise Blue,Azul Amanecer,#49B0D1,5
SG,GA,76.120,Abyssal Turquoise,Turquesa Abisal,#052432,5
SG,GA,76.121,Ghost Green,Verde Espectral,#4FB98B,5
SG,GA,76.122,Bile Green,Verde Bilioso,#CDDC33,5
SG,GA,76.123,Angel Green,Verde Angelical,#172919,5
